Order,asset_key,pipe_key_match,PIPELINE NAME,Problem_Description,Description,Location_Description,Order Type,Priority,MaintActivType,System status,SYSTEM,SUB SYSTEM,Material,Nominal Diameter,TOTAL LENGTH (KM),PIPELINE AGE,CAPACITY MLD,Total act.costs,TotalPlnndCosts,event_year,event_month,event_dow,is_weekend,target_leak
759935,uw ii e ixop wtw ixw adm build,,,Please Provide Package Plant Shelter,Ixopo Structural & Buildings,Ixopo Water Works General Structure,PM02,4.0,CMN,TECO GMPS MACM PPRT PRC  SETC,,,,,,,,393790.0,448453.1,2021,10,1,0,0
767380,uw ii w muts rwt mup mpl pipel,,,Pls attend to NRV @ Mearns Pipeline,Mearns pipeline,Mearns Pipeline (Complete),PM02,4.0,CMN,TECO GMPS NMAT PRC  SETC,,,,,,,,393432.0,350000.0,2022,4,4,0,0
745424,uw ii w midm bds ric rip valve,richmond pipeline,’Richmond Pipeline,Bypass Richmond p/s surge tank,Richmond p/s Valves,Richmond Ps Outlet Surge Tank SV,PM02,4.0,CMN,TECO PRT  GMPS NMAT PRC  SETC,Upper Mgeni,Midmar,Steel,350.0,4.9,10.0,6.2,389840.0,433880.0,2020,8,1,0,0
742002,uw ii w midm bds 061 wvr res01,61 pipeline,’61 Pipeline,Rehabilitate road to Worlds View Res.,Worlds View Reservoir 1,Worlds View Reservoir #1 Structure,PM02,4.0,CMN,TECO GMPS NMAT PPRT PRC  SETC,Upper Mgeni,Midmar,Steel,800900800.0,6.2,45.0,330.0,389235.0,305950.0,2020,3,2,0,0
90003335,uw ii e dvha bds 053 53a pipel,53 pipeline,’53 Pipeline,shutdown 53p/l,54 Pipeline from DVH to Umlaas Road,53 Pipeline (Complete),PM02,1.0,BDN,TECO PCNF GMPS MACM PPRT PRC  SETC,Upper Mgeni,DV HARRIS,Pre-Stressed Concrete,762.0,26.6,63.0,45.0,375106.34,26393.0,2024,6,5,1,0
90003334,uw ii e dvha bds 053 53a pipel,53 pipeline,’53 Pipeline,repair burst pipe @ 53p/l,54 Pipeline from DVH to Umlaas Road,53 Pipeline (Complete),PM02,1.0,BDN,TECO PCNF GMPS PPRT PRC  SETC,Upper Mgeni,DV HARRIS,Pre-Stressed Concrete,762.0,26.6,63.0,45.0,363444.28,967857.83,2024,6,0,0,1
90002758,uw ii e dvha bds 053 53a pipel,53 pipeline,’53 Pipeline,attend water pipe leak at 53p/l,54 Pipeline from DVH to Umlaas Road,53 Pipeline (Complete),PM02,1.0,CMN,TECO PCNF GMPS MACM PPRT PRC  SETC,Upper Mgeni,DV HARRIS,Pre-Stressed Concrete,762.0,26.6,63.0,45.0,356685.37,350533.53,2024,5,2,0,1
775583,uw ii e dvha bds 053 53a pipel,53 pipeline,’53 Pipeline,Shut down 53P/L,54 Pipeline from DVH to Umlaas Road,53 Pipeline (Complete),PM02,2.0,CMN,TECO PCNF GMPS NMAT PPRT PRC  SETC,Upper Mgeni,DV HARRIS,Pre-Stressed Concrete,762.0,26.6,63.0,45.0,355890.3,8521.74,2022,11,0,0,0
774918,mr17840,61 pipeline,’61 Pipeline,Attend to Umlaas Rd Pipeyard fencing,"Meter, Umlaas Rd Tower Ex 61 Pipeline","Meter, Umlaas Rd Tower Ex 61 Pipeline",PM02,4.0,CMN,TECO GMPS NMAT PRC  SETC,Upper Mgeni,Midmar,Steel,800900800.0,6.2,45.0,330.0,352800.0,500000.0,2022,10,1,0,0
774632,uw ii e mkon sup ops am0 build,,,Removal of redundant spares to Mlaz Road,Mkondeni Regional Offices Buildings,Mkondeni Reg.Office Ground Floor Equip,PM02,5.0,CMN,TECO PCNF GMPS NMAT PPRT PRC  SETC,,,,,,,,351942.46,8608.7,2022,10,2,0,0
793809,uw ii w midm bds 251 pha pipel,251 pipeline,‘251 Pipeline,Replacement of AV's Midmar-Howick WWW,251 Pipeline (Complete),251 Pipeline (Complete),PM02,5.0,CMN,TECO GMPS NMAT PPRT PRC  SETC,Upper Mgeni,Midmar,Steel,1600.0,3.3,8.0,347.91,351152.0,803000.0,2024,1,1,0,0
827896,mr779330,,,53 pipeline umlaas rd pipe leak,"Meter, Hardman Reginald James","Meter, Hardman Reginald James",VM02,2.0,CMN,TECO PCNF PRT  NMAT PRC  SETC,,,,,,,,343685.3,0.0,2024,9,1,0,1
90009124,uw ii w midm bds 061 61c pipel,61 pipeline,’61 Pipeline,Cut grass from Worlds view to Umlaas RD,"61 Pipeline, Worlds View to HD Hill",Pipe Segment Worlds View - HD Hill,PM02,5.0,CMN,TECO GMPS NMAT PRC  SETC,Upper Mgeni,Midmar,Steel,800900800.0,6.2,45.0,330.0,340374.6,340374.6,2024,10,1,0,0
90011784,uw ii w midm bds 061 61d pipel,61 pipeline,’61 Pipeline,Cut grass on 61&261 p/l,"61 Pipeline, HD Hill-ED2",Pipe Segment HD Hill - ED2,PM02,5.0,CMN,TECO GMPS NMAT PRC  SETC,Upper Mgeni,Midmar,Steel,800900800.0,6.2,45.0,330.0,340374.6,340374.6,2024,12,1,0,0
761307,uw ii e dvha bds 053 53a pipel,53 pipeline,’53 Pipeline,soil erosion protection 53 p/l,54 Pipeline from DVH to Umlaas Road,53 Pipeline (Complete),PM02,4.0,CMN,TECO PCNF GMPS MACM PPRT PRC  SETC,Upper Mgeni,DV HARRIS,Pre-Stressed Concrete,762.0,26.6,63.0,45.0,337006.64,382975.68,2021,11,0,0,0
790986,uw ii w midm bds 061 wvr res01,61 pipeline,’61 Pipeline,Cut grass at WV to URD,Worlds View Reservoir 1,Worlds View Reservoir #1 Structure,PM02,5.0,CMN,TECO GMPS NMAT PRC  SETC,Upper Mgeni,Midmar,Steel,800900800.0,6.2,45.0,330.0,323550.63,323550.63,2023,10,0,0,0
795596,uw ii w midm bds 061 61f pipel,61 pipeline,’61 Pipeline,Cut grass from W/View to Uml rd p/l.,"61 Pipeline, ED4 to Umlaas Rd",Pipe Segment ED4 - Umlaas Road,PM02,5.0,CMN,TECO GMPS NMAT PRC  SETC,Upper Mgeni,Midmar,Steel,800900800.0,6.2,45.0,330.0,323550.63,323550.63,2024,2,3,0,0
796465,uw ii w midm bds 061 061 ch001,61 pipeline,’61 Pipeline,61 P/L grass cutting,"61 Pipeline, Chamber 001","Chamber 1, Offtake",PM02,4.0,CMN,TECO GMPS NMAT PRC  SETC,Upper Mgeni,Midmar,Steel,800900800.0,6.2,45.0,330.0,323550.63,323550.63,2024,2,4,0,0
767613,uw ii w midm bds est eso pipel,eston umbumbulu pipeline,Eston-Umbumbulu Pipeline,"Rehabilitate & prevent erosion,Everton-E",Eston Pipeline (Complete),Eston Pipeline (Complete),PM02,4.0,CMN,TECO GMPS NMAT PPRT PRC  SETC,Upper Mgeni,Midmar,Steel,600.0,16.1,28.0,48.93,315196.5,653350.0,2022,5,3,0,0
789463,uw ii w midm bds 357 357 ch001,357 pipeline,’357 Pipeline,Shut down 357 p/l - Craig,"357 Pipeline, Chamber 001","Chamber 001, Chamber",PM02,2.0,CMN,TECO PCNF PRT  NMAT PRC  SETC,Upper Mgeni,Midmar,Steel,1600.0,8.1,15.0,347.0,314828.64,0.0,2023,9,1,0,0
794235,uw ii e mkon sup ops wsh build,,,Pls make up slab @ Pipe yard,Mkondeni Workshops Buildings,Buildings & Structures,PM02,5.0,CMN,TECO GMPS NMAT PRC  SETC,,,,,,,,312540.0,208650.0,2024,1,2,0,0
781315,uw ii e dvha bds 053 53a ch051,53 pipeline,’53 Pipeline,Re instate drive way at 53p/l,53 Pipeline Chamber 51,"Pipe Segment, Between Chamber 51 AND 52",PM02,4.0,CMN,TECO GMPS NMAT PRC  SETC,Upper Mgeni,DV HARRIS,Pre-Stressed Concrete,762.0,26.6,63.0,45.0,309400.0,300000.0,2023,3,3,0,0
771996,uw ii w midm bds 257 257 ch001,257 pipeline,’257 Pipeline,Repair leak on 257 pipeline at scour pc,"257 Pipeline, Chamber 001","Chamber 001, Chamber",PM02,4.0,BDN,TECO PCNF GMPS MACM PPRT PRC  SETC,Upper Mgeni,Midmar,Steel,1000.0,8.5,29.0,135.9,304753.82,16850.0,2022,8,2,0,1
777313,uw ii w midm bds urd urr res01,,,Cut grass at WV to URD,Umlaas Rd Reservoir 1 (9mL),"Umlaas Rd, 9Ml Reservoir",PM02,5.0,CMN,TECO GMPS NMAT PRC  SETC,,,,,,,,304375.0,304375.0,2022,12,3,0,0
782813,uw ii w midm bds 061 61f pipel,61 pipeline,’61 Pipeline,"Cut grass on 61,261 W/view to M rd","61 Pipeline, ED4 to Umlaas Rd",Pipe Segment ED4 - Umlaas Road,PM02,5.0,CMN,TECO GMPS NMAT PRC  SETC,Upper Mgeni,Midmar,Steel,800900800.0,6.2,45.0,330.0,304375.0,304375.0,2023,5,4,0,0
788098,uw ii w midm bds 061 61f pipel,61 pipeline,’61 Pipeline,Creation of culvert bridge Intaba Ridge,"61 Pipeline, ED4 to Umlaas Rd",Pipe Segment ED4 - Umlaas Road,PM02,5.0,CMN,TECO GMPS NMAT PRC  SETC,Upper Mgeni,Midmar,Steel,800900800.0,6.2,45.0,330.0,304297.5,417280.0,2023,8,1,0,0
90015525,uw ii e dvha bds 053 53a pipel,53 pipeline,’53 Pipeline,Repair leak on 53 pipeline,54 Pipeline from DVH to Umlaas Road,53 Pipeline (Complete),PM02,3.0,BDC,REL  PCNF PRT  GMPS NMAT PRC  SETC,Upper Mgeni,DV HARRIS,Pre-Stressed Concrete,762.0,26.6,63.0,45.0,302344.93,22734.16,2025,3,4,0,1
90001960,uw ii w midm bds ric tpl ch010,thornville,Thornville,Repair access bridge at T/ville offtake.,Thornville new Pipeline Chamber 10,Chamber #10,PM02,4.0,CMN,TECO PCNF PRT  GMPS NMAT PRC  SETC,Upper Mgeni,Midmar,Steel/AC,160200.0,7.9,38.0,8.9,279837.68,158384.98,2024,5,2,0,0
90013223,uw ii e dvha bds 053 53a pipel,53 pipeline,’53 Pipeline,Repair chambers on 53 P/L,54 Pipeline from DVH to Umlaas Road,53 Pipeline (Complete),PM02,5.0,CMN,REL  PCNF CSER GMPS MANC PPRT PRC  SETC,Upper Mgeni,DV HARRIS,Pre-Stressed Concrete,762.0,26.6,63.0,45.0,278779.54,101597.4,2025,2,1,0,0
740960,mr17920,eston umbumbulu pipeline,Eston-Umbumbulu Pipeline,PAINT CHAMBER ESTON/UMBUMBULU P/L,"Meter, Eston Bulk Meter","Meter, Eston Bulk Meter",PM02,5.0,CMN,TECO PCNF GMPS PPRT PRC  SETC,Upper Mgeni,Midmar,Steel,600.0,16.1,28.0,48.93,276191.28,7839.8,2020,2,0,0,0
745171,uw ii w midm bds 261 261 ch001,261 pipeline,261 Pipeline,Repair access road at Shiyabazali,"261 Pipeline, Chamber 001","Pipe Section, Chamber 001 to Chamber 002",PM02,4.0,CMN,TECO GMPS NMAT PRC  SETC,Upper Mgeni,Midmar,Steel,1000.0,29.6,23.0,271.7,273700.0,301450.0,2020,7,0,0,0
785422,uw ii e dvha bds 053 53a ch051,53 pipeline,’53 Pipeline,repair a leak 0n 53 pipeline,53 Pipeline Chamber 51,"Pipe Segment, Between Chamber 51 AND 52",PM02,2.0,BDN,TECO GMPS NMAT PPRT PRC  SETC,Upper Mgeni,DV HARRIS,Pre-Stressed Concrete,762.0,26.6,63.0,45.0,269369.2,208550.0,2023,6,2,0,1
749911,uw ii w midm bds 063 63a pipel,,,Disconnect the consumer for non payment,63 Pipeline (Complete),63 Pipeline (Complete),PM02,2.0,CMN,TECO PCNF NMAT PPRT PRC  SETC,,,,,,,,262507.76,0.0,2020,12,1,0,0
775743,uw ii e dvha bds war dar build,,,D errosion protection @ Dalton p/l,New Dalton Reservoir Structure,Reservoir Structure,PM02,3.0,CMN,TECO PCNF GMPS NMAT PPRT PRC  SETC,,,,,,,,262026.25,203853.0,2022,11,2,0,0
725654,uw ii w midm bds 061 61b pipel,61 pipeline,’61 Pipeline,Replace missing chamber lids on 61 pline,"61 Pipeline, Clarendon-W. View",Pipe Segment Clarendon - Worlds View,PM02,4.0,CMN,TECO GMPS NMAT PRC  SETC,Upper Mgeni,Midmar,Steel,800900800.0,6.2,45.0,330.0,260000.0,277500.0,2019,1,4,0,0
786067,uw ii e darv www dar out build,ixopo raw water rising main,Ixopo Raw Water Rising Main,attend to sewer rising main @ Steadville,Darvill Outlet System Buildings,Outlet Channels General Equipment,PM02,3.0,CMN,TECO PCNF GMPS MACM PPRT PRC  SETC,ixopo,Ixopo,Steel,250.0,1.38,27.0,6.37,256882.6,232622.2,2023,7,5,1,0
779300,uw ii e dvha bds 053 53a pipel,53 pipeline,’53 Pipeline,Re - instate 53p/l,54 Pipeline from DVH to Umlaas Road,53 Pipeline (Complete),PM02,4.0,CMN,TECO PCNF PRT  GMPS NMAT PRC  SETC,Upper Mgeni,DV HARRIS,Pre-Stressed Concrete,762.0,26.6,63.0,45.0,255108.86,125452.0,2023,2,2,0,0
795624,mr51188,,,Tree felling at Mid-Illovu.,"Meter, Mid Illovu (Reservoir Off-Take)","Meter, Mid Illovu (Reservoir Off-Take)",PM02,5.0,CMN,TECO GMPS NMAT PRC  SETC,,,,,,,,253760.0,253760.0,2024,2,3,0,0
90009057,uw ii e dvha bds war bhn build,bruyns hill pipeline,Bruyns Hill Pipeline,grass cutting @ umshwathi pipeline,New BHill Pump Station Buildings,General Buildings & Structures,PM02,5.0,CMN,TECO GMPS NMAT PRC  SETC,Upper Mgeni,DV HARRIS,Steel,450.0,12.0,7.0,,249375.54,249375.54,2024,10,0,0,0
788241,uw ii e dvha bds 053 53a ch051,53 pipeline,’53 Pipeline,Repair leak at 53 pipeline ( makhaye),53 Pipeline Chamber 51,"Pipe Segment, Between Chamber 51 AND 52",PM02,2.0,BDN,TECO PCNF NMAT PPRT PRC  SETC,Upper Mgeni,DV HARRIS,Pre-Stressed Concrete,762.0,26.6,63.0,45.0,245300.78,577990.0,2023,8,3,0,1
740935,uw ii w midm bds 057 57a pipel,57 pipeline,’57 Pipeline,SUPPLY & INSTLL MARKER POSTS FOR 57 P/L,57 Pipeline (complete line)(,157 Pipeline (Complete),PM02,4.0,CMN,TECO GMPS NMAT PPRT PRC  SETC,Upper Mgeni,Midmar,Steel,800.0,8.6,52.0,87.08,245100.0,330700.0,2020,2,0,0,0
90001130,uw ii w midm bds 061 wvr res01,61 pipeline,’61 Pipeline,Repair access road to Worlds View,Worlds View Reservoir 1,Worlds View Reservoir #1 Structure,PM02,4.0,CMN,TECO GMPS NMAT PRC  SETC,Upper Mgeni,Midmar,Steel,800900800.0,6.2,45.0,330.0,239714.08,239714.08,2024,4,3,0,0
790932,uw ii e dvha bds war ms1 pipel,wartburg pipeline,Wartburg Pipeline,Do grass cutting @ Mshwathi P/L,Mshwati Pipeline System (New),New Wartburg Pline,PM02,5.0,CMN,TECO GMPS NMAT PRC  SETC,Upper Mgeni,DV HARRIS,Steel,700.0,9.5,8.0,66.0,237049.0,237049.0,2023,10,0,0,0
793314,uw ii e dvha wtw dvw adm build,,,cut grass @umshwathi pipeline,Structural & Buildings,Dv Harris General Structure,PM02,5.0,CMN,TECO GMPS NMAT PRC  SETC,,,,,,,,237049.0,237049.0,2023,12,3,0,0
797635,uw ii e dvha bds war ms1 pipel,wartburg pipeline,Wartburg Pipeline,cut grass umshwathi pipeline,Mshwati Pipeline System (New),New Wartburg Pline,PM02,5.0,CMN,TECO GMPS NMAT PRC  SETC,Upper Mgeni,DV HARRIS,Steel,700.0,9.5,8.0,66.0,237049.0,237049.0,2024,3,3,0,0
90002791,uw ii e dvha bds war ms1 pipel,wartburg pipeline,Wartburg Pipeline,Do grass cutting from Mshwathi P/L,Mshwati Pipeline System (New),New Wartburg Pline,PM02,5.0,CMN,TECO GMPS NMAT PRC  SETC,Upper Mgeni,DV HARRIS,Steel,700.0,9.5,8.0,66.0,237049.0,237049.0,2024,5,0,0,0
782964,uw ii e mkon sup ops wsh build,,,clean wash bay and disposal site,Mkondeni Workshops Buildings,Buildings & Structures,PM02,3.0,CMN,TECO PCNF PRT  NMAT PRC  SETC,,,,,,,,231637.3,0.0,2023,5,3,0,0
782372,uw ii e darv www dar adm build,,,Level ground behind workshop,Buildings & Structures,Grounds and Lands General Equipment,PM02,4.0,CMN,TECO PCNF GMPS NMAT PPRT PRC  SETC,,,,,,,,230057.3,99759.34,2023,4,1,0,0
756101,uw ii e dvha bds war dar build,,,install pipe &divert water @ nondabula.,New Dalton Reservoir Structure,Reservoir Structure,PM02,4.0,CMN,TECO PCNF GMPS MACM PPRT PRC  SETC,,,,,,,,227526.88,95630.44,2021,6,1,0,0
769309,uw ii e dvha bds war ms1 pipel,wartburg pipeline,Wartburg Pipeline,Cut grass on the umshwathi p/l,Mshwati Pipeline System (New),New Wartburg Pline,PM02,5.0,CMN,TECO GMPS NMAT PRC  SETC,Upper Mgeni,DV HARRIS,Steel,700.0,9.5,8.0,66.0,223000.0,223000.0,2022,6,0,0,0
776466,uw ii e dvha wtw dvw adm build,,,cut grass at umshwathi pipeline,Structural & Buildings,Dv Harris General Structure,PM02,4.0,CMN,TECO GMPS NMAT PRC  SETC,,,,,,,,223000.0,223000.0,2022,12,4,0,0
781808,uw ii e dvha bds 069 69b pipel,wartburg pipeline 69 pipeline,Wartburg Pipeline(’69 Pipeline),cut grass from Belfort p/l to umshwathi,Pipeline Claridge to Wartburg turnoff,Pipeline 69 Belfort-Wartburg t/off,PM02,5.0,CMN,TECO GMPS NMAT PPRT PRC  SETC,Upper Mgeni,DV HARRIS,Steel,300.0,19.3,35.0,,223000.0,223000.0,2023,4,4,0,0
90005507,uw ii e mkon sup ops am0 build,,,Plaster skimming/Repair&painting perimet,Mkondeni Regional Offices Buildings,Mkondeni Reg.Office Lights & Gen Elec,PM02,5.0,CMN,TECO GMPS NMAT PRC  SETC,,,,,,,,217661.4,250000.0,2024,7,1,0,0
718295,uw ii w midm bds urd lpa pipel,lion park pipeline,Lion Park Pipeline,Attend to burst pipe at Lion Park.,Umlaas road Lion Park Pipeline,Umlaas Res-Lion Park Pipeline,PM02,4.0,CMC,TECO PCNF PRT  GMPS PRC  SETC,Upper Mgeni,Midmar,Steel,350.0,8.6,7.0,16.6,212106.33,38891.34,2018,6,1,0,1
90009673,uw ii e dvha bds 053 53a pipel,53 pipeline,’53 Pipeline,Repair a leak on 53 pipeline,54 Pipeline from DVH to Umlaas Road,53 Pipeline (Complete),PM02,4.0,BDN,REL  PCNF GMPS MANC PPRT PRC  SETC,Upper Mgeni,DV HARRIS,Pre-Stressed Concrete,762.0,26.6,63.0,45.0,205280.86,47876.24,2024,10,2,0,1
90009123,uw ii w midm bds 251 251 pipel,251 pipeline,‘251 Pipeline,"Cut grass on 51,251 & 351 p/l",251 Pipeline (complete),251 Pipeline (complete),PM02,5.0,CMN,TECO GMPS NMAT PRC  SETC,Upper Mgeni,Midmar,Steel,1600.0,3.3,8.0,347.91,205194.42,205194.42,2024,10,1,0,0
90009049,uw ii w muts rwt mup mpl pipel,,,Pls do grass cutting @ Mearns P/line,Mearns pipeline,Mearns Pipeline (Complete),PM02,5.0,CMN,TECO GMPS NMAT PRC  SETC,,,,,,,,201944.49,201944.49,2024,10,0,0,0
